time,double_latitude,double_longitude,double_speed,user
1364761409,43.7066404,-72.2890399,0.0,gps_u01
1364762609,43.7066526,-72.2889757,0.0,gps_u01
1364763809,43.7066528,-72.2890239,0.0,gps_u01
1364765009,43.7066531,-72.2890238,0.0,gps_u01
1364766209,43.706653,-72.2889994,0.0,gps_u01
1364767409,43.7066404,-72.2890399,0.0,gps_u01
1364768609,43.7066534,-72.2890059,0.0,gps_u01
1364769809,43.7066523,-72.2890225,0.0,gps_u01
1364771009,43.7066542,-72.2889937,0.0,gps_u01
1364772209,43.7066382,-72.2890523,0.0,gps_u01
1364773408,43.70682994,-72.28891468,0.5,gps_u01
1364774608,43.70691797,-72.28906957,0.0,gps_u01
1364775809,43.7067337,-72.289131,0.0,gps_u01
1364777009,43.706665,-72.2891672,0.0,gps_u01
1364778209,43.7066393,-72.2890383,0.0,gps_u01
1364779409,43.7066746,-72.2891886,0.0,gps_u01
1364780607,43.70667127,-72.28897856,0.0,gps_u01
1364781809,43.7067521,-72.2891892,0.0,gps_u01
1364783009,43.7066607,-72.2889878,0.0,gps_u01
1364784209,43.7066543,-72.2889928,0.0,gps_u01
1364785409,43.7066625,-72.2889899,0.0,gps_u01
1364786609,43.7066541,-72.2889714,0.0,gps_u01
1364787809,43.7066542,-72.2889928,0.0,gps_u01
1364789009,43.7066542,-72.2889997,0.0,gps_u01
1364790209,43.7066543,-72.2889883,0.0,gps_u01
1364791409,43.7066542,-72.2889907,0.0,gps_u01
1364792609,43.7066531,-72.2890237,0.0,gps_u01
1364793809,43.7066531,-72.2890233,0.0,gps_u01
1364795009,43.7068105,-72.2891697,0.0,gps_u01
1364796209,43.7067043,-72.2891636,0.0,gps_u01
1364797409,43.706722,-72.2891802,0.0,gps_u01
1364798609,43.7067338,-72.2891064,0.0,gps_u01
1364799809,43.706693,-72.2890963,0.0,gps_u01
1364801009,43.7067127,-72.2892166,0.0,gps_u01
1364802209,43.7067271,-72.2891457,0.0,gps_u01
1364803409,43.7067545,-72.2891423,0.0,gps_u01
1364804609,43.7066731,-72.2890624,0.0,gps_u01
1364805805,43.70691688,-72.28914558,0.0,gps_u01
1364807005,43.70665544,-72.28920334,0.0,gps_u01
1364808209,43.7066832,-72.2890797,0.0,gps_u01
1364809404,43.70670166,-72.28894571,0.0,gps_u01
1364810604,43.70680248,-72.28912747,0.0,gps_u01
1364811804,43.70674713,-72.28933201,0.0,gps_u01
1364813009,43.7066577,-72.2890444,0.0,gps_u01
1364814209,43.7066909,-72.2890614,0.0,gps_u01
1364815409,43.7066804,-72.2890878,0.0,gps_u01
1364816602,43.70679068,-72.28928302,0.0,gps_u01
1364817809,43.706689,-72.2890933,0.0,gps_u01
1364819003,43.70686548,-72.28934628,0.0,gps_u01
1364820203,43.70656256,-72.28920358,0.0,gps_u01
1364821409,43.7066978,-72.2891682,0.0,gps_u01
1364822603,43.70677388,-72.28929464,0.25,gps_u01
1364823803,43.70670979,-72.28928619,0.0,gps_u01
1364825009,43.7066854,-72.2891051,0.0,gps_u01
1364826203,43.7068339,-72.28908492,0.0,gps_u01
1364827410,43.70682764,-72.28908081,0.0,gps_u01
1364828610,43.7067639,-72.28899079,0.0,gps_u01
1364829810,43.70672092,-72.28911189,0.0,gps_u01
1364831009,43.7053261,-72.2902654,0.0,gps_u01
1364832209,43.7052929,-72.2903593,0.0,gps_u01
1364833409,43.7065964,-72.2891902,0.0,gps_u01
1364834609,43.70162,-72.288045,0.0,gps_u01
1364835809,43.7019121,-72.2881407,0.0,gps_u01
1364837009,43.7017636,-72.2882353,0.0,gps_u01
1364838209,43.7017127,-72.2882008,0.0,gps_u01
1364839409,43.7017145,-72.2882261,0.0,gps_u01
1364840609,43.7017303,-72.2882593,0.0,gps_u01
1364841809,43.7017235,-72.2881525,0.0,gps_u01
1364843009,43.7017639,-72.2882254,0.0,gps_u01
1364844209,43.7017522,-72.2882282,0.0,gps_u01
1364845409,43.7017308,-72.2882474,0.0,gps_u01
1364846609,43.7017318,-72.2882689,0.0,gps_u01
1364847809,43.7017636,-72.2882282,0.0,gps_u01
1364850209,43.70664,-72.2890401,0.0,gps_u01
1364851408,43.70691234,-72.28909285,0.25,gps_u01
1364852607,43.70691336,-72.28899523,0.0,gps_u01
1364853809,43.7067664,-72.2892505,0.0,gps_u01
1364855009,43.7066694,-72.2890077,0.0,gps_u01
1364863409,43.7066642,-72.288984,0.0,gps_u01
1364864609,43.7067624,-72.2890841,0.0,gps_u01
1364865809,43.706651,-72.2890831,0.0,gps_u01
1364867009,43.7066384,-72.2890523,0.0,gps_u01
1364868209,43.7066775,-72.2891715,0.0,gps_u01
1364869374,43.7066733,-72.2892625,0.0,gps_u01
1364870609,43.7066358,-72.289066,0.0,gps_u01
1364871809,43.7066739,-72.2891207,0.0,gps_u01
1364873009,43.7066382,-72.2890521,0.0,gps_u01
1364874209,43.7066536,-72.2891795,0.0,gps_u01
1364875409,43.7066716,-72.2891807,0.0,gps_u01
1364876609,43.7066652,-72.2890832,0.0,gps_u01
1364877809,43.7066733,-72.2890114,0.0,gps_u01
1364879009,43.706719,-72.2891341,0.0,gps_u01
1364880209,43.7066401,-72.2890399,0.0,gps_u01
1364881412,43.70679293,-72.2893426,0.5,gps_u01
1364882609,43.7066682,-72.2891028,0.0,gps_u01
1364883809,43.7066555,-72.2891074,0.0,gps_u01
1364885009,43.7066592,-72.2891395,0.0,gps_u01
1364886209,43.7066981,-72.2891533,0.0,gps_u01
1364887411,43.70676817,-72.28933385,0.70710677,gps_u01
1364888609,43.7067134,-72.2891384,0.0,gps_u01
1364889809,43.7066889,-72.2891036,0.0,gps_u01
1364891009,43.7066403,-72.2890792,0.0,gps_u01
1364892209,43.7066888,-72.2891741,0.0,gps_u01
1364893409,43.7066585,-72.2890748,0.0,gps_u01
1364894609,43.706604,-72.2890178,0.0,gps_u01
1364895809,43.706693,-72.2891573,0.0,gps_u01
1364897010,43.70673663,-72.28909932,1.0307764,gps_u01
1364898210,43.70680225,-72.28908106,1.8200275,gps_u01
1364899409,43.7066543,-72.2891071,0.0,gps_u01
1364900609,43.7066676,-72.2891151,0.0,gps_u01
1364901809,43.7065999,-72.2891093,0.0,gps_u01
1364903009,43.7066595,-72.2891331,0.0,gps_u01
1364904209,43.7066689,-72.2891183,0.0,gps_u01
1364905409,43.7066249,-72.2891038,0.0,gps_u01
1364906609,43.7067192,-72.2891393,0.0,gps_u01
1364907809,43.7067892,-72.28930811,1.118034,gps_u01
1364909009,43.7066958,-72.2891637,0.0,gps_u01
1364910209,43.7066587,-72.2890985,0.0,gps_u01
1364911409,43.70668,-72.289176,0.0,gps_u01
1364912609,43.7066652,-72.2891574,0.0,gps_u01
1364913809,43.7066833,-72.2890871,0.0,gps_u01
